asin,domain_id,market,title,new_price,used_price,discount_percent
B00FVKLR42,9,ES,,,,
B079PRXQPL,9,ES,,,,
B0187CKZVE,9,ES,,,,
B00XBGG62Y,9,ES,,,,
B06XKNR8LJ,9,ES,,,,
B07PMBHH1D,9,ES,,,,
B07PM9HWK1,9,ES,,,,
B0794WQSPS,9,ES,,,,
B07PM8T4Y1,9,ES,,,,
B00VBGT0J6,9,ES,,,,
B0814FXW5G,9,ES,,,,
B07DHNX4XB,9,ES,,,,
B00MBLQGGE,9,ES,,,,
B09B96KFQX,9,ES,,,,
B07BHV6SHW,9,ES,,,,
B07PM9HWDT,9,ES,,,,
B07PMB5N38,9,ES,,,,
B09BSLJKFH,9,ES,,,,
B09BS7JLTT,9,ES,,,,
B0C4FHFVMT,9,ES,,,,
B07H4Z4JQG,9,ES,,,,
B00450LDR4,9,ES,,,,
B077XCXZKK,9,ES,,,,
B09ZD1J9ZQ,9,ES,,,,
B0BQHRSQG5,9,ES,,,,
B09H2KQTWF,9,ES,,,,
B0795DW9MT,9,ES,,,,
B01NABDNPH,9,ES,,,,
B01MZYSL9C,9,ES,,,,
B019YH3KOQ,9,ES,,,,
B07YGBMHCK,9,ES,,,,
B08HQ3VZ77,9,ES,,,,
B07YH9BMKW,9,ES,,,,
B08GYWKLZN,9,ES,,,,
B0BWMQPL88,9,ES,,,,
B0C9G5SM3H,9,ES,,,,
B0BG56B64Q,9,ES,,,,
B0B53BMVQR,9,ES,,,,
B09ZTHKFN3,9,ES,,,,
B07YGBVF81,9,ES,,,,
B07S92G6DL,9,ES,,,,
B07VLBPZMV,9,ES,,,,
B0BFB6YRRX,9,ES,,,,
B09GH5YPLT,9,ES,,,,
B08FWF2LRZ,9,ES,,,,
B07GGTZQX2,9,ES,,,,
B07K6MMPFK,9,ES,,,,
B07RFSVGDN,9,ES,,,,
B09Q2M2WGH,9,ES,,,,
B08FK7YPBB,9,ES,,,,
B09R7CXJJ5,9,ES,,,,
B09T3WMVT5,9,ES,,,,
B0BVPNWB5T,9,ES,,,,
B0BWRB9LFG,9,ES,,,,
B0BG7TW9HC,9,ES,,,,
B0BG7Q4VZ6,9,ES,,,,
B0BG7Q7VBL,9,ES,,,,
